"year_month","year","month","max_temp_f","min_temp_f"
"2007-05-01",2007,5,75.1,53.2
"2007-06-01",2007,6,82.7,62.7
"2007-07-01",2007,7,85.7,66.2
"2007-08-01",2007,8,80.2,64
"2007-09-01",2007,9,74.7,55
"2007-10-01",2007,10,62.1,46.5
"2007-11-01",2007,11,42,27
"2007-12-01",2007,12,23.4,9.7
"2008-01-01",2008,1,21.2,5.2
"2008-02-01",2008,2,23.1,7.3
"2008-03-01",2008,3,36.2,20.4
"2008-04-01",2008,4,53,35.1
"2008-05-01",2008,5,66.6,46
"2008-06-01",2008,6,77.9,59.5
"2008-07-01",2008,7,85.4,65.7
"2008-08-01",2008,8,82.8,62.1
"2008-09-01",2008,9,72.8,54.3
"2008-10-01",2008,10,59.6,41.2
"2008-11-01",2008,11,41.5,27.8
"2008-12-01",2008,12,23,4
"2009-01-01",2009,1,16.8,-0.2
"2009-02-01",2009,2,29.1,12.4
"2009-03-01",2009,3,41.1,23.3
"2009-04-01",2009,4,57.4,37.8
"2009-05-01",2009,5,71.6,50
"2009-06-01",2009,6,76.6,58.7
"2009-07-01",2009,7,79.4,60.5
"2009-08-01",2009,8,78,60.9
"2009-09-01",2009,9,76,57
"2009-10-01",2009,10,49.1,37.3
"2009-11-01",2009,11,51,34.4
"2009-12-01",2009,12,23.2,11.4
"2010-01-01",2010,1,20,6.1
"2010-02-01",2010,2,28.1,11.3
"2010-03-01",2010,3,50,32
"2010-04-01",2010,4,65.5,44.3
"2010-05-01",2010,5,70.5,50.9
"2010-06-01",2010,6,77.5,61
"2010-07-01",2010,7,85.4,67.1
"2010-08-01",2010,8,86.2,67.8
"2010-09-01",2010,9,68.9,51.6
"2010-10-01",2010,10,64.1,44
"2010-11-01",2010,11,42.5,28.1
"2010-12-01",2010,12,22.4,10.4
"2011-01-01",2011,1,18.3,5.8
"2011-02-01",2011,2,27,10.5
"2011-03-01",2011,3,37.4,21.5
"2011-04-01",2011,4,55.1,37.3
"2011-05-01",2011,5,67.2,49.6
"2011-06-01",2011,6,78.7,60.3
"2011-07-01",2011,7,87.9,69.7
"2011-08-01",2011,8,82.4,64.8
"2011-09-01",2011,9,72.5,53.3
"2011-10-01",2011,10,64.9,45.8
"2011-11-01",2011,11,47,31.5
"2011-12-01",2011,12,34.4,21.2
"2012-01-01",2012,1,30.8,15.8
"2012-02-01",2012,2,34.8,20.6
"2012-03-01",2012,3,57.5,39.1
"2012-04-01",2012,4,59.6,40.5
"2012-05-01",2012,5,73.5,53.8
"2012-06-01",2012,6,82.3,62.3
"2012-07-01",2012,7,89.9,70.4
"2012-08-01",2012,8,82.1,61.8
"2012-09-01",2012,9,76.2,51.5
"2012-10-01",2012,10,56.4,38.6
"2012-11-01",2012,11,45.6,28.6
"2012-12-01",2012,12,30.6,16.2
"2013-01-01",2013,1,25,8.9
"2013-02-01",2013,2,26.2,11.8
"2013-03-01",2013,3,34.6,19.8
"2013-04-01",2013,4,48.6,33.4
"2013-05-01",2013,5,67.6,49
"2013-06-01",2013,6,77.1,60.7
"2013-07-01",2013,7,84,65.9
"2013-08-01",2013,8,84.2,65.3
"2013-09-01",2013,9,77.1,57.2
"2013-10-01",2013,10,57.1,41.2
"2013-11-01",2013,11,41.2,25.4
"2013-12-01",2013,12,20.1,5.1
"2014-01-01",2014,1,18.6,-2.3
"2014-02-01",2014,2,17.7,0
"2014-03-01",2014,3,34,17.3
"2014-04-01",2014,4,51.4,34.1
"2014-05-01",2014,5,67.9,49.3
"2014-06-01",2014,6,77.9,61
"2014-07-01",2014,7,80.6,62.5
"2014-08-01",2014,8,81.8,64.8
"2014-09-01",2014,9,72.2,53.2
"2014-10-01",2014,10,58.4,40
"2014-11-01",2014,11,32.5,18.7
"2014-12-01",2014,12,29.7,19
"2015-01-01",2015,1,25.9,12.4
"2015-02-01",2015,2,19.6,3
"2015-03-01",2015,3,45.4,25.8
"2015-04-01",2015,4,59.9,39.6
"2015-05-01",2015,5,68.5,49.9
"2015-06-01",2015,6,78.7,60.7
"2015-07-01",2015,7,82.4,64.3
"2015-08-01",2015,8,79.3,62.2
"2015-09-01",2015,9,76.4,59.3
"2015-10-01",2015,10,61,43.1
"2015-11-01",2015,11,49.1,33.7
"2015-12-01",2015,12,35.2,25.4
"2016-01-01",2016,1,24.2,11.2
"2016-02-01",2016,2,31.9,18.2
"2016-03-01",2016,3,49.4,33.2
"2016-04-01",2016,4,56.9,39.3
"2016-05-01",2016,5,71.2,51.5
"2016-06-01",2016,6,80.5,62.1
"2016-07-01",2016,7,84,66.3
"2016-08-01",2016,8,81.9,64.8
"2016-09-01",2016,9,74,58.2
"2016-10-01",2016,10,61.1,44.7
"2016-11-01",2016,11,52,36.3
"2016-12-01",2016,12,27.1,15
"2017-01-01",2017,1,27.2,14.9
"2017-02-01",2017,2,40.2,22.4
"2017-03-01",2017,3,42.1,26
"2017-04-01",2017,4,59.3,41.6
"2017-05-01",2017,5,67.7,49.3
"2017-06-01",2017,6,81.3,61.4
"2017-07-01",2017,7,84.8,65.8
"2017-08-01",2017,8,77,60.4
"2017-09-01",2017,9,77,57.5
"2017-10-01",2017,10,59.6,43.1
"2017-11-01",2017,11,42.2,26.2
"2017-12-01",2017,12,25.4,12.7
"2018-01-01",2018,1,25,8.5
"2018-02-01",2018,2,25.2,6.9
"2018-03-01",2018,3,40.3,24.7
"2018-04-01",2018,4,47.4,27.8
"2018-05-01",2018,5,78.4,57.3
"2018-06-01",2018,6,80.9,64.5
"2018-07-01",2018,7,84.2,65.8
"2018-08-01",2018,8,82.9,65
"2018-09-01",2018,9,73.3,57
"2018-10-01",2018,10,53.3,38.3
"2018-11-01",2018,11,34.2,22.5
"2018-12-01",2018,12,31.7,20.2
"2019-01-01",2019,1,21.9,7
"2019-02-01",2019,2,21.3,4.7
"2019-03-01",2019,3,37.2,20
"2019-04-01",2019,4,55.2,37.2
"2019-05-01",2019,5,65.4,45.9
"2019-06-01",2019,6,79.2,60.3
"2019-07-01",2019,7,83.8,67
"2019-08-01",2019,8,79.4,62.6
"2019-09-01",2019,9,74.7,58.7
"2019-10-01",2019,10,53.2,39.1
"2019-11-01",2019,11,36.3,25.5
"2019-12-01",2019,12,30.5,16.1
"2020-01-01",2020,1,27.4,14
"2020-02-01",2020,2,29.9,12.6
"2020-03-01",2020,3,45.2,30.2
"2020-04-01",2020,4,55.4,34.9
"2020-05-01",2020,5,67.1,50.3
"2020-06-01",2020,6,82.9,62.8
"2020-07-01",2020,7,85.2,66.8
"2020-08-01",2020,8,82.2,64
"2020-09-01",2020,9,70.3,52.2
"2020-10-01",2020,10,51,36.2
"2020-11-01",2020,11,47,30.3
"2020-12-01",2020,12,33,17.8
"2021-01-01",2021,1,28.3,16.2
"2021-02-01",2021,2,18.8,4.8
"2021-03-01",2021,3,50.1,31.1
"2021-04-01",2021,4,57.1,38.2
"2021-05-01",2021,5,70,50.4
"2021-06-01",2021,6,87.4,66.1
"2021-07-01",2021,7,86.1,65.9
"2021-08-01",2021,8,83,65
"2021-09-01",2021,9,76.6,56.3
"2021-10-01",2021,10,63.8,47.3
"2021-11-01",2021,11,44.7,29.4
"2021-12-01",2021,12,32.6,16.6
"2022-01-01",2022,1,20.4,1.3
"2022-02-01",2022,2,24.7,4.5
"2022-03-01",2022,3,39.5,24.3
"2022-04-01",2022,4,48.6,33.5
"2022-05-01",2022,5,70.7,51.3
"2022-06-01",2022,6,83.1,63
"2022-07-01",2022,7,85.3,67.3
"2022-08-01",2022,8,81.4,63.6
"2022-09-01",2022,9,75.8,56.1
"2022-10-01",2022,10,62.1,41.5
"2022-11-01",2022,11,42.4,27.9
"2022-12-01",2022,12,24.4,11.8
"2023-01-01",2023,1,26.1,14.6
"2023-02-01",2023,2,30.1,12.3
"2023-03-01",2023,3,36.6,21.7
"2023-04-01",2023,4,54.4,37.3
"2023-05-01",2023,5,74.7,53.7
"2023-06-01",2023,6,85.5,64.5
"2023-07-01",2023,7,85.1,64
"2023-08-01",2023,8,84,65.3
"2023-09-01",2023,9,78,60.2
"2023-10-01",2023,10,59.2,44.6
"2023-11-01",2023,11,47.2,29.9
"2023-12-01",2023,12,40.4,28.4
"2024-01-01",2024,1,27.4,17.1
"2024-02-01",2024,2,42.9,24
"2024-03-01",2024,3,46.5,28.4
"2024-04-01",2024,4,58,40.5
"2024-05-01",2024,5,72.7,52.2
"2024-06-01",2024,6,78.4,60.5
"2024-07-01",2024,7,82.5,65.7
"2024-08-01",2024,8,80.2,62.9
"2024-09-01",2024,9,80.8,60
"2024-10-01",2024,10,68.2,46.7
"2024-11-01",2024,11,44.4,32.8
"2024-12-01",2024,12,30.8,18.9
"2025-01-01",2025,1,24.4,6.9
"2025-02-01",2025,2,25.8,8.7
"2025-03-01",2025,3,50.1,28.3
"2025-04-01",2025,4,57.8,38.8
"2025-05-01",2025,5,70.8,50.7
